읍면동별 세대원수별 세대수,,,,,,,,,,,,,,
2016년 12월,,,,,,,,,,,,,,
행정기관코드,시도,시군구,읍면동,전체세대,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인세대이상
전국,,,,21294009,7446665,4568962,3927088,3943543,1077119,245845,59972,15738,4963,4114
1100000000,서울특별시,,,4189839,1561533,847102,778997,761414,184019,41957,10351,2883,929,654
1111000000,서울특별시,종로구,,72118,34698,13049,10736,9877,2779,701,194,47,23,14
1111051500,서울특별시,종로구,청운효자동,5658,2033,1113,1069,1047,296,72,23,3,2,0
1111053000,서울특별시,종로구,사직동,4399,1944,883,703,620,174,42,22,5,2,4
1111054000,서울특별시,종로구,삼청동,1403,698,268,181,179,57,15,5,0,0,0
1111055000,서울특별시,종로구,부암동,4371,1564,925,782,790,211,68,21,6,2,2
1111056000,서울특별시,종로구,평창동,7537,2343,1567,1499,1548,435,102,25,9,7,2
1111057000,서울특별시,종로구,무악동,3056,717,628,673,806,182,36,10,1,2,1
1111058000,서울특별시,종로구,교남동,2268,1097,456,325,287,83,11,7,1,1,0
1111060000,서울특별시,종로구,가회동,2131,955,435,335,275,93,28,8,2,0,0
1111061500,서울특별시,종로구,종로1.2.3.4가동,5384,4164,563,309,260,57,20,9,2,0,0
1111063000,서울특별시,종로구,종로5.6가동,3170,1998,492,323,266,72,14,4,0,1,0
1111064000,서울특별시,종로구,이화동,4443,2483,781,561,444,128,34,10,0,2,0
1111065000,서울특별시,종로구,혜화동,9292,5336,1422,1128,1020,280,79,14,9,1,3
1111067000,서울특별시,종로구,창신제1동,3132,1801,565,382,279,85,15,4,1,0,0
1111068000,서울특별시,종로구,창신제2동,4391,1976,851,710,613,180,48,10,2,0,1
1111069000,서울특별시,종로구,창신제3동,2894,813,633,638,555,199,45,8,2,0,1
1111070000,서울특별시,종로구,숭인제1동,3062,1327,617,523,410,133,42,7,2,1,0
1111071000,서울특별시,종로구,숭인제2동,5527,3449,850,595,478,114,30,7,2,2,0
1114000000,서울특별시,중구,,59651,28368,11780,9138,7615,2039,508,137,40,12,14
1114052000,서울특별시,중구,소공동,989,548,173,133,109,17,4,3,0,0,2
1114054000,서울특별시,중구,회현동,3372,2318,449,283,235,63,14,6,3,0,1
1114055000,서울특별시,중구,명동,1440,912,230,136,115,32,9,1,2,0,3
1114057000,서울특별시,중구,필동,2301,1376,397,249,200,51,18,5,4,0,1
1114058000,서울특별시,중구,장충동,2723,1627,449,301,238,80,19,5,1,1,2
1114059000,서울특별시,중구,광희동,2947,1851,466,312,233,63,16,5,1,0,0
1114060500,서울특별시,중구,을지로동,1205,946,125,72,38,18,2,4,0,0,0
1114061500,서울특별시,중구,신당동,4219,2389,778,493,410,109,30,8,2,0,0
1114062500,서울특별시,중구,다산동,6930,2910,1551,1111,998,262,68,24,2,2,2
1114063500,서울특별시,중구,약수동,7845,2656,1934,1633,1192,324,82,13,9,1,1
1114064500,서울특별시,중구,청구동,6472,2427,1422,1224,1039,282,58,9,8,3,0
1114065000,서울특별시,중구,신당제5동,4583,2084,928,725,625,164,41,14,0,2,0
1114066500,서울특별시,중구,동화동,4315,1207,851,930,982,257,60,22,3,3,0
1114067000,서울특별시,중구,황학동,6099,3060,1190,908,679,199,51,8,4,0,0
1114068000,서울특별시,중구,중림동,4211,2057,837,628,522,118,36,10,1,0,2
1117000000,서울특별시,용산구,,106607,48131,21228,17086,14876,3938,963,253,84,25,23
1117051000,서울특별시,용산구,후암동,8665,3973,1648,1410,1207,322,79,17,3,2,4
1117052000,서울특별시,용산구,용산2가동,5628,2735,1182,861,621,181,37,10,1,0,0
1117053000,서울특별시,용산구,남영동,5452,4090,640,352,264,81,14,6,2,2,1
1117055500,서울특별시,용산구,청파동,10697,5849,1874,1384,1162,315,79,22,10,1,1
1117056000,서울특별시,용산구,원효로제1동,6581,2875,1420,1116,888,216,43,11,9,3,0
1117057000,서울특별시,용산구,원효로제2동,6047,1925,1242,1221,1220,324,71,26,12,1,5
1117058000,서울특별시,용산구,효창동,3799,1286,800,725,686,224,53,19,5,0,1
1117059000,서울특별시,용산구,용문동,5221,1743,1165,1038,957,240,61,10,5,1,1
1117062500,서울특별시,용산구,한강로동,7659,4017,1490,1084,801,191,54,14,5,1,2
1117063000,서울특별시,용산구,이촌제1동,10050,2245,2071,2489,2488,554,145,41,11,4,2
1117064000,서울특별시,용산구,이촌제2동,3888,1262,994,799,604,167,47,11,3,1,0
1117065000,서울특별시,용산구,이태원제1동,3951,2255,720,481,338,115,34,7,1,0,0
1117066000,서울특별시,용산구,이태원제2동,4870,2479,1026,661,506,147,39,10,0,1,1
1117068500,서울특별시,용산구,한남동,10795,5712,2246,1391,1047,285,72,20,10,7,5
1117069000,서울특별시,용산구,서빙고동,5292,1629,1052,946,1205,356,78,21,4,1,0
1117070000,서울특별시,용산구,보광동,8012,4056,1658,1128,882,220,57,8,3,0,0
1120000000,서울특별시,성동구,,128727,49318,26476,24086,21959,5161,1241,356,85,29,16
1120052000,서울특별시,성동구,왕십리제2동,6922,2530,1396,1344,1243,290,89,22,3,4,1
1120053500,서울특별시,성동구,왕십리도선동,9276,3286,1858,1821,1747,430,93,31,8,1,1
1120054000,서울특별시,성동구,마장동,10271,4063,2035,1826,1762,428,113,27,10,4,3
1120055000,서울특별시,성동구,사근동,6429,4130,898,620,583,148,30,14,3,3,0
1120056000,서울특별시,성동구,행당제1동,6283,2515,1328,1110,1002,253,53,16,4,1,1
1120057000,서울특별시,성동구,행당제2동,9341,2085,2067,2259,2275,465,131,42,11,3,3
1120058000,서울특별시,성동구,응봉동,6255,1573,1303,1457,1452,367,76,17,7,1,2
1120059000,서울특별시,성동구,금호1가동,5339,1632,1199,1149,1031,249,61,17,0,1,0
1120061500,서울특별시,성동구,금호2.3가동,10246,3340,2372,2183,1771,432,100,33,10,4,1
1120062000,서울특별시,성동구,금호4가동,6087,2080,1365,1341,1012,226,45,15,2,0,1
1120064500,서울특별시,성동구,옥수동,9787,2800,2351,2227,1838,423,101,39,7,1,0
1120065000,서울특별시,성동구,성수1가제1동,7197,2713,1474,1290,1354,286,56,17,6,0,1
1120066000,서울특별시,성동구,성수1가제2동,7559,3235,1551,1294,1145,263,57,9,2,2,1
1120067000,서울특별시,성동구,성수2가제1동,8722,3979,1703,1407,1257,280,77,16,2,1,0
1120069000,서울특별시,성동구,성수2가제3동,5472,2575,1001,842,765,205,62,17,4,1,0
1120072000,서울특별시,성동구,송정동,5454,2510,1122,831,744,190,42,9,5,1,0
1120079000,서울특별시,성동구,용답동,8087,4272,1453,1085,978,226,55,15,1,1,1
1121500000,서울특별시,광진구,,158390,65896,30862,27358,26438,5975,1364,350,99,23,25
1121571000,서울특별시,광진구,화양동,14514,10693,1956,909,733,171,41,11,0,0,0
1121573000,서울특별시,광진구,군자동,10223,5223,1985,1420,1194,304,69,15,6,3,4
1121574000,서울특별시,광진구,중곡제1동,7618,3466,1690,1237,941,225,41,11,7,0,0
1121575000,서울특별시,광진구,중곡제2동,9951,3914,2116,1855,1629,327,85,18,4,2,1
1121576000,서울특별시,광진구,중곡제3동,8105,3381,1781,1444,1149,280,53,13,2,2,0
